model1_name,model2_name,CKA,model1_layers,model2_layers,dataset1_name,dataset2_name
Baseline,Arrow,"tensor([[-1.7253e-02, -1.4560e-02,  3.4513e-02,  3.7128e-02,  1.8683e-02,
          2.1397e-02,  3.3233e-02,  9.2545e-03,  1.6742e-02,  7.4201e-03,
         -2.0037e-03,  3.0706e-03, -1.4144e-09, -7.2411e-02, -7.2411e-02,
         -7.2598e-02, -7.2483e-02, -7.2490e-02, -7.2218e-02, -7.1307e-02,
         -6.9941e-02, -6.9420e-02, -6.9818e-02, -6.9740e-02, -6.6988e-02,
         -6.2874e-02, -5.8627e-02, -5.4683e-02, -4.8377e-02,  2.5677e-02,
          1.9550e-02,  1.7886e-02]])",['model.layers.0'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x7775890efa90>,<custom_dataset.CustomDatasetCKA object at 0x7775890efa90>
Baseline,Arrow,"tensor([[-0.0172, -0.0005,  0.0351,  0.0419,  0.0373,  0.0537,  0.0552,  0.0676,
          0.0347,  0.0505,  0.0537,  0.0475,  0.0653, -0.0114, -0.0023, -0.0042,
          0.0148,  0.0257,  0.0233,  0.0420,  0.0496,  0.0451,  0.0445,  0.0386,
          0.0367,  0.0401,  0.0492,  0.0487,  0.0482,  0.0335,  0.0514,  0.0981]])",['model.layers.1'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x7775890efa90>,<custom_dataset.CustomDatasetCKA object at 0x7775890efa90>
Baseline,Arrow,"tensor([[-0.0252, -0.0226,  0.0748,  0.0656,  0.0958,  0.0419,  0.0310, -0.0541,
         -0.0859, -0.1585, -0.1099, -0.1274, -0.0737, -0.0824, -0.1130, -0.0835,
         -0.0890, -0.0941, -0.0912, -0.0816, -0.0784, -0.0832, -0.0874, -0.0971,
         -0.0951, -0.0967, -0.0955, -0.0949, -0.0906, -0.0911, -0.0854, -0.0626]])",['model.layers.2'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x7775890efa90>,<custom_dataset.CustomDatasetCKA object at 0x7775890efa90>
Baseline,Arrow,"tensor([[ 0.0522,  0.0362,  0.1330,  0.1341,  0.0705,  0.1056,  0.0827, -0.0365,
         -0.0305, -0.0519, -0.0205, -0.0267, -0.0660, -0.0692, -0.0683, -0.0540,
         -0.0585, -0.0521, -0.0511, -0.0420, -0.0345, -0.0286, -0.0199, -0.0185,
         -0.0154, -0.0166, -0.0116, -0.0173, -0.0292, -0.0205, -0.0301, -0.0373]])",['model.layers.3'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x7775890efa90>,<custom_dataset.CustomDatasetCKA object at 0x7775890efa90>
Baseline,Arrow,"tensor([[ 0.0311,  0.0164,  0.0496,  0.0595, -0.0423, -0.0428,  0.0000, -0.5071,
         -0.1833, -0.0815, -0.2269, -0.0510, -0.0874, -0.1163, -0.0843, -0.0760,
         -0.0594, -0.0389, -0.0591, -0.0352, -0.0302, -0.0071, -0.0127, -0.0161,
         -0.0339, -0.0190, -0.0413, -0.0122, -0.0168, -0.0370, -0.0331, -0.0058]])",['model.layers.4'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x7775890efa90>,<custom_dataset.CustomDatasetCKA object at 0x7775890efa90>
Baseline,Arrow,"tensor([[ 7.3688e-02,  8.9532e-02,  8.4365e-02,  1.4609e-01, -9.2848e-02,
          2.8868e-01,  0.0000e+00, -2.8868e-01, -5.6250e-01, -2.9463e-01,
         -2.7854e-01, -3.5007e-02, -7.2675e-02,  3.5031e-03,  3.7650e-03,
          4.0345e-03,  4.5692e-03,  3.7604e-03,  3.4890e-03,  3.4634e-03,
          3.7163e-03,  5.2837e-04,  5.7473e-03,  5.1492e-04,  1.0061e-03,
          5.8781e-03,  1.8908e-03,  2.0284e-10,  6.8229e-03, -1.4625e-02,
         -6.9208e-03, -2.4232e-02]])",['model.layers.5'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x7775890efa90>,<custom_dataset.CustomDatasetCKA object at 0x7775890efa90>
Baseline,Arrow,"tensor([[ 1.1277e-02,  6.2696e-03, -5.7073e-02, -7.0824e-02, -3.2275e-01,
         -2.4807e-01, -1.7802e-01, -1.4434e-01, -2.3146e-01, -1.3363e-01,
         -3.1277e-01, -1.2010e-01, -2.7524e-02,  3.5921e-09,  7.7254e-02,
          1.1740e-01,  8.7023e-02,  5.8269e-02,  1.3767e-02,  9.9801e-03,
          2.0445e-02,  1.1171e-02,  3.5148e-02,  1.8327e-02,  5.0143e-02,
          8.6978e-02,  6.6617e-02,  7.7439e-02,  7.2218e-02,  7.9029e-02,
          7.1535e-02,  1.6484e-02]])",['model.layers.6'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x7775890efa90>,<custom_dataset.CustomDatasetCKA object at 0x7775890efa90>
Baseline,Arrow,"tensor([[ 9.0547e-02,  5.6817e-02, -1.4852e-01, -1.6435e-01, -2.8645e-01,
         -2.8427e-01, -1.2830e-01,  7.2169e-01, -1.4907e-01, -6.9578e-09,
          5.2271e-02,  4.0032e-02,  2.7778e-02,  1.5475e-02,  1.7638e-02,
          1.5751e-02,  1.7325e-02,  1.6371e-02,  1.6989e-02,  1.9372e-02,
          2.4904e-02,  2.7925e-02,  2.8802e-02,  3.6274e-02,  4.2539e-02,
          5.1692e-02,  5.5530e-02,  5.7720e-02,  6.2367e-02,  9.9906e-02,
          8.7702e-02,  9.2185e-02]])",['model.layers.7'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x7775890efa90>,<custom_dataset.CustomDatasetCKA object at 0x7775890efa90>
Baseline,Arrow,"tensor([[-6.8145e-02,  2.4750e-02,  1.9673e-01,  1.1229e-01, -1.2039e-01,
         -6.1546e-02,  5.8321e-02, -6.1237e-01,  1.5554e-01, -2.1760e-01,
         -2.6087e-01, -1.4362e-01, -8.9264e-09, -7.6923e-02, -1.4316e-01,
         -5.5786e-02, -5.7916e-02,  2.7831e-09, -9.3811e-02, -2.9311e-02,
         -5.0157e-03, -8.3351e-03,  2.9492e-03, -9.2599e-03,  6.9965e-03,
         -5.4143e-03, -1.2830e-02, -3.0907e-09,  5.4017e-03,  1.6875e-02,
          2.3407e-02,  6.9713e-02]])",['model.layers.8'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x7775890efa90>,<custom_dataset.CustomDatasetCKA object at 0x7775890efa90>
Baseline,Arrow,"tensor([[ 0.0432,  0.1210,  0.0994,  0.0988, -0.0546, -0.0540,  0.1069,  0.1195,
          0.0496,  0.0423,  0.2546,  0.2771,  0.1148, -0.0228, -0.0232, -0.0224,
         -0.0206, -0.0208, -0.0200, -0.0144, -0.0084, -0.0073,  0.0025,  0.0072,
          0.0170,  0.0265,  0.0395,  0.0611,  0.0811,  0.2029,  0.2173,  0.1934]])",['model.layers.9'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x7775890efa90>,<custom_dataset.CustomDatasetCKA object at 0x7775890efa90>
Baseline,Arrow,"tensor([[ 0.0980,  0.0796, -0.1567, -0.1154, -0.0292, -0.1734, -0.1690,  0.1380,
          0.1146,  0.0761,  0.0420,  0.0647,  0.0663,  0.0830,  0.0836,  0.0961,
          0.0858,  0.0665,  0.0767,  0.0786,  0.0798,  0.1011,  0.1118,  0.0883,
          0.0828,  0.0995,  0.0973,  0.1049,  0.1223,  0.1192,  0.1137,  0.1124]])",['model.layers.10'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x7775890efa90>,<custom_dataset.CustomDatasetCKA object at 0x7775890efa90>
Baseline,Arrow,"tensor([[-3.4940e-02,  3.0223e-02,  1.5453e-01,  1.0302e-01,  5.0141e-02,
          2.4112e-02,  7.0593e-02,  1.3005e-01, -6.1135e-02, -1.2409e-01,
          1.4812e-02, -2.2244e-02,  3.4432e-09, -2.6991e-02, -2.7004e-02,
         -2.6841e-02, -2.5931e-02, -2.5991e-02, -2.5797e-02, -2.4798e-02,
         -2.1806e-02, -2.1873e-02, -2.0839e-02, -1.9163e-02, -1.9692e-02,
         -1.7693e-02, -1.9709e-02, -1.5056e-02, -8.3990e-03,  1.0395e-02,
          2.9283e-02,  5.6601e-02]])",['model.layers.11'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x7775890efa90>,<custom_dataset.CustomDatasetCKA object at 0x7775890efa90>
Baseline,Arrow,"tensor([[ 0.0286,  0.0334,  0.0482,  0.0241,  0.0606, -0.0116, -0.0570, -0.1553,
         -0.0475, -0.1269, -0.1036, -0.1159, -0.0544, -0.1225, -0.0884, -0.0991,
         -0.0814, -0.0987, -0.0990, -0.0874, -0.0972, -0.1014, -0.1141, -0.1217,
         -0.1404, -0.1414, -0.1357, -0.1332, -0.1253, -0.1098, -0.1066, -0.0713]])",['model.layers.12'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x7775890efa90>,<custom_dataset.CustomDatasetCKA object at 0x7775890efa90>
Baseline,Arrow,"tensor([[0.0094, 0.0182, 0.0696, 0.0679, 0.0787, 0.0500, 0.0941, 0.0418, 0.0070,
         0.0221, 0.0232, 0.0296, 0.0408, 0.0652, 0.0723, 0.0624, 0.0637, 0.0596,
         0.0525, 0.0513, 0.0383, 0.0347, 0.0295, 0.0231, 0.0247, 0.0229, 0.0280,
         0.0243, 0.0269, 0.0224, 0.0289, 0.0325]])",['model.layers.13'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x7775890efa90>,<custom_dataset.CustomDatasetCKA object at 0x7775890efa90>
Baseline,Arrow,"tensor([[-0.0143,  0.0055,  0.0196,  0.0218,  0.0252,  0.0259,  0.0227,  0.0262,
          0.0213,  0.0230,  0.0184,  0.0202,  0.0237,  0.0713,  0.0717,  0.0710,
          0.0705,  0.0707,  0.0702,  0.0704,  0.0705,  0.0703,  0.0683,  0.0656,
          0.0632,  0.0589,  0.0559,  0.0562,  0.0495,  0.0190,  0.0226,  0.0198]])",['model.layers.14'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x7775890efa90>,<custom_dataset.CustomDatasetCKA object at 0x7775890efa90>
